t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^CHatMsg_emotion_step_yours^,^[Actor]님이 당신을 힘껏 밟습니다. 퍽퍽퍽^,^[Target]様があなたを思いっきり踏みつけてます^,^^,^[Actor] stomps on you.^,^^,^^
^CHatMsg_emotion_affirmation_yours^,^[Actor]님이 당신을 보며 긍정의 의사를 밝힙니다.^,^[Target]様があなたに肯定の意思を表しています。^,^^,^[Actor] agrees with you.^,^^,^^
^CHatMsg_emotion_win_my_notarget^,^당신은 승리를 기뻐합니다.^,^あなたは勝利を喜びます。^,^^,^You pump your fists in victory.^,^^,^^
^CHatMsg_emotion_lose_my_notarget^,^당신은 패배감을 느낍니다.^,^あなたは敗北感を感じます。^,^^,^You crumple in defeat.^,^^,^^
^CHatMsg_emotion_confession_my_notarget^,^당신은 수줍게 고백합니다.^,^あなたはもじもじと告白します。^,^^,^You beg somebody, anybody, to give you some love.^,^^,^^
^CHatMsg_emotion_surprise_my_notarget^,^당신은 크게 놀랍니다.^,^あなたはびっくりします。^,^^,^You step back in shock.^,^^,^^
^CHatMsg_emotion_charge_my_notarget^,^당신은 돌격합니다.^,^あなたは突撃します。^,^^,^You command everyone to charge!^,^^,^^
^CHatMsg_emotion_shame_my_notarget^,^당신은 부끄러워 합니다.^,^あなたは恥ずかしがります。^,^^,^You glance around bashfully.^,^^,^^
^CHatMsg_emotion_greeting_my_notarget^,^당신은 손인사를 합니다.^,^あなたは手を振り挨拶します。^,^^,^You wave.^,^^,^^
^CHatMsg_emotion_joyful_my_notarget^,^당신은 기뻐합니다.^,^あなたは喜びます。^,^^,^You feel overjoyed.^,^^,^^
^CHatMsg_emotion_cry_my_notarget^,^당신은 엉엉 웁니다.^,^あなたはわんわんと泣きます。^,^^,^You cry like a baby.^,^^,^^
^CHatMsg_emotion_smile_my_notarget^,^당신은 크게 웃습니다.^,^あなたは爆笑します。^,^^,^You laugh.^,^^,^^
^CHatMsg_emotion_cheerup_my_notarget^,^당신은 응원합니다.^,^あなたは応援します。^,^^,^You give a !hearty! cheer.^,^^,^^
^CHatMsg_emotion_mockery_my_notarget^,^당신은 조롱합니다.^,^あなたはからかいます。^,^^,^You make a mocking gesture.^,^^,^^
^CHatMsg_emotion_cheers_my_notarget^,^당신은 환호합니다.^,^あなたは歓呼します。^,^^,^You cheer.^,^^,^^
^CHatMsg_emotion_penalty1_my_notarget^,^당신은 땀을 흘리며 벌칙을 받습니다.^,^あなたは罰を受けます。^,^^,^You look sheepishly away.^,^^,^^
^CHatMsg_emotion_penalty2_my_notarget^,^당신은 벌칙을 받으며 힘들어 합니다.^,^あなたは罰を受けて辛いです。^,^^,^You look dubious.^,^^,^^
^CHatMsg_emotion_refuse_my_notarget^,^당신은 거절의 의사를 밝힙니다.^,^あなたは拒絶の意思を示します。^,^^,^You adamantly decline.^,^^,^^
^CHatMsg_emotion_angry_my_notarget^,^당신은 화를 냅니다.^,^あなたは怒りをあらわにします。^,^^,^You lose your temper.^,^^,^^
^CHatMsg_emotion_applause_my_notarget^,^당신은 박수를 칩니다.^,^あなたは拍手をします。.^,^^,^You applaud.^,^^,^^
^CHatMsg_emotion_salute_my_notarget^,^당신은 경례를 합니다.^,^あなたは敬礼します。^,^^,^You salute.^,^^,^^
^CHatMsg_emotion_cheek_my_notarget^,^당신은 따귀를 힘껏 때립니다.^,^あなたはビンタを打ちます。^,^^,^You slap at the air.^,^^,^^
^CHatMsg_emotion_slapped_my_notarget^,^당신은 따귀를 맞고 아파합니다.^,^あなたはビンタを打たれて痛がります。^,^^,^Your eyes water.^,^^,^^
^CHatMsg_emotion_beg2_my_notarget^,^당신은 떼를 씁니다. 징징징^,^あなたはわがままを言います。ねぇねぇ^,^^,^You whine.^,^^,^^
^CHatMsg_emotion_step_my_notarget^,^당신은 힘껏 밟습니다. 퍽퍽퍽^,^あなたは思いっきり踏みつけます。^,^^,^You stomp.^,^^,^^
^CHatMsg_emotion_affirmation_my_notarget^,^당신은 긍정의 의사를 밝힙니다.^,^あなたは肯定の意思を表します。^,^^,^You nod your head in agreement.^,^^,^^
^CHatMsg_emotion_win_others_notarget^,^[Actor]님이 승리를 기뻐합니다.^,^[Target]様が勝利を喜んでいます。^,^^,^[Actor] pump their fists in victory.^,^^,^^
^CHatMsg_emotion_lose_others_notarget^,^[Actor]님이 패배감을 느낍니다.^,^[Target]様が敗北感を感じています。^,^^,^[Actor] crumples in defeat.^,^^,^^
^CHatMsg_emotion_confession_others_notarget^,^[Actor]님이 수줍게 고백합니다.^,^[Target]様がもじもじと告白しています。^,^^,^[Actor] begs somebody, anybody, to give them some love.^,^^,^^
^CHatMsg_emotion_surprise_others_notarget^,^[Actor]님이 크게 놀랍니다.^,^[Target]様がびっくりしています。^,^^,^[Actor] steps back in shock.^,^^,^^
^CHatMsg_emotion_charge_others_notarget^,^[Actor]님이 돌격합니다.^,^[Target]様が突撃します。^,^^,^[Actor] commands everyone to charge!^,^^,^^
^CHatMsg_emotion_shame_others_notarget^,^[Actor]님이 부끄러워 합니다.^,^[Target]様が恥ずかしがっています。^,^^,^[Actor] glances around bashfully.^,^^,^^
^CHatMsg_emotion_greeting_others_notarget^,^[Actor]님이 손인사를 합니다.^,^[Target]様が手を振り挨拶をしてします。^,^^,^[Actor] waves.^,^^,^^
^CHatMsg_emotion_joyful_others_notarget^,^[Actor]님이 기뻐합니다.^,^[Target]様が喜んでいます。^,^^,^[Actor] feels overjoyed.^,^^,^^
^CHatMsg_emotion_cry_others_notarget^,^[Actor]님이 엉엉 웁니다.^,^[Target]様がわんわんと泣いています。^,^^,^[Actor] cries like a baby.^,^^,^^
^CHatMsg_emotion_smile_others_notarget^,^[Actor]님이 크게 웃습니다.^,^[Target]様が爆笑しています。^,^^,^[Actor] laughs.^,^^,^^
^CHatMsg_emotion_cheerup_others_notarget^,^[Actor]님이 응원합니다.^,^[Target]様が応援しています。^,^^,^[Actor] gives a !hearty! cheer.^,^^,^^
^CHatMsg_emotion_mockery_others_notarget^,^[Actor]님이 조롱합니다.^,^[Target]様がからかっています。^,^^,^[Actor] makes a mocking gesture.^,^^,^^
^CHatMsg_emotion_cheers_others_notarget^,^[Actor]님이 환호합니다.^,^[Target]様が歓呼しています。^,^^,^[Actor] cheers.^,^^,^^
^CHatMsg_emotion_penalty1_others_notarget^,^[Actor]님이 땀을 흘리며 벌칙을 받습니다.^,^[Target]様が罰を受けています。^,^^,^[Actor] looks sheepishly away.^,^^,^^
^CHatMsg_emotion_penalty2_others_notarget^,^[Actor]님이 벌칙을 받으며 힘들어 합니다.^,^[Target]様が罰を受けて辛そうです。^,^^,^[Actor] looks dubious.^,^^,^^
^CHatMsg_emotion_refuse_others_notarget^,^[Actor]님이 거절의 의사를 밝힙니다.^,^[Target]様が拒絶の意思を示しています。^,^^,^[Actor] adamantly declines.^,^^,^^
^CHatMsg_emotion_angry_others_notarget^,^[Actor]님이 화를 냅니다.^,^[Target]様が怒っています。^,^^,^[Actor] loses their temper.^,^^,^^
^CHatMsg_emotion_applause_others_notarget^,^[Actor]님이 박수를 칩니다.^,^[Target]様が拍手をしています。.^,^^,^[Actor] applauds.^,^^,^^
^CHatMsg_emotion_salute_others_notarget^,^[Actor]님이 경례를 합니다.^,^[Target]様が敬礼しています。^,^^,^[Actor] salutes.^,^^,^^
^CHatMsg_emotion_cheek_others_notarget^,^[Actor]님이 따귀를 힘껏 때립니다.^,^[Target]様がビンタを打ちます。^,^^,^[Actor] slaps at the air.^,^^,^^
^CHatMsg_emotion_slapped_others_notarget^,^[Actor]님이 따귀를 맞고 아파합니다.^,^[Target]様がビンタを打たれて痛がっています。^,^^,^[Actor]'s eyes water.^,^^,^^
^CHatMsg_emotion_beg2_others_notarget^,^[Actor]님이 떼를 씁니다. 징징징^,^[Target]様がわがままを言っています。ねぇねぇ^,^^,^[Actor] whines.^,^^,^^
^CHatMsg_emotion_step_others_notarget^,^[Actor]님이 힘껏 밟습니다. 퍽퍽퍽^,^[Target]様が思いっきり踏みつけてます。^,^^,^[Actor] stomps.^,^^,^^
^CHatMsg_emotion_affirmation_others_notarget^,^[Actor]님이 긍정의 의사를 밝힙니다.^,^[Target]様が肯定の意思を表しています。^,^^,^[Actor] nods their head in agreement.^,^^,^^
^CHatMsg_emotion_costumeani_my_target^,^당신은 [Target]님을 보며 코스튬 포즈를 취합니다.^,^^,^^,^You show off your costume to [Target].^,^^,^^
^CHatMsg_emotion_costumeani_others_target^,^[Actor]님이 [Target]님을 보며 코스튬 포즈를 취합니다.^,^^,^^,^[Actor] shows off their costume to [Target].^,^^,^^
^CHatMsg_emotion_costumeani_yours^,^[Actor]님이 당신을 보며 코스튬 포즈를 취합니다.^,^^,^^,^[Actor] shows off their costume to you.^,^^,^^
^CHatMsg_emotion_costumeani_my_notarget^,^당신은 코스튬 포즈를 취합니다.^,^^,^^,^You show off your costume.^,^^,^^
^cHatmsg_emotion_costumeani_others_notarget^,^[Actor]님이 코스튬 포즈를 취합니다.^,^^,^^,^[Actor] shows off their costume.^,^^,^^
^CHatMsg_emotion_sneer_my_target^,^당신은 [Target]님을 보며 비웃습니다.^,^^,^^,^You sneer at [Target].^,^^,^^
^CHatMsg_emotion_sneer_others_target^,^[Actor]님이 [Target]님을 보며 비웃고 있습니다.^,^^,^^,^[Actor] sneers at [Target].^,^^,^^
^CHatMsg_emotion_sneer_yours^,^[Actor]님이 당신을 보며 비웃습니다.^,^^,^^,^[Actor] sneers at you.^,^^,^^
^CHatMsg_emotion_sneer_my_notarget^,^당신은 비웃습니다.^,^^,^^,^You sneer.^,^^,^^
^cHatmsg_emotion_sneer_others_notarget^,^[Actor]님이 비웃고 있습니다.^,^^,^^,^[Actor] sneers.^,^^,^^
^CHatMsg_emotion_yell_my_target^,^당신은 [Target]님을 보며 기뻐하며 춤을 춥니다.^,^^,^^,^You are delighted and dancing.^,^^,^^
^CHatMsg_emotion_yell_others_target^,^[Actor]님이 [Target]님을 보며 기뻐하며 춤을 춥니다.^,^^,^^,^[Actor] is dancing with joy.^,^^,^^
^CHatMsg_emotion_yell_yours^,^[Actor]님이 당신을 보며 기뻐하며 춤을 춥니다.^,^^,^^,^[Actor] is delighted to see you.^,^^,^^
^CHatMsg_emotion_yell_my_notarget^,^당신은 기뻐하며 춤을 춥니다.^,^^,^^,^You are delighted and dancing.^,^^,^^
^cHatmsg_emotion_yell_others_notarget^,^[Actor]님이 기뻐하며 춤을 춥니다.^,^^,^^,^[Actor] is dancing with joy^,^^,^^
^CHatMsg_emotion_sad_my_target^,^당신은 [Target]님을 보며 눈물을 흘리며 슬퍼합니다.^,^^,^^,^You are sad with tears watching [Target].^,^^,^^
^CHatMsg_emotion_sad_others_target^,^[Actor]님이 [Target]님을 보며 눈물을 흘리며 슬퍼합니다.^,^^,^^,^[Actor] shed tears when he saw [Target].^,^^,^^
^CHatMsg_emotion_sad_yours^,^[Actor]님이 당신을 보며 눈물을 흘리며 슬퍼합니다.^,^^,^^,^[Actor] sheds tears as he looks at you.^,^^,^^
^CHatMsg_emotion_sad_my_notarget^,^당신은 눈물을 흘리며 슬퍼합니다.^,^^,^^,^You are in tears.^,^^,^^
^cHatmsg_emotion_sad_others_notarget^,^[Actor]님이 눈물을 흘리며 슬퍼합니다.^,^^,^^,^[Actor] shed his tears.^,^^,^^
^CHatMsg_emotion_penalty_my_target^,^당신은 [Target]님을 보며 쪼그려뜁니다.^,^^,^^,^You squat to [Target].^,^^,^^
^CHatMsg_emotion_penalty_others_target^,^[Actor]님이 [Target]님을 보며 쪼그려뜁니다^,^^,^^,^[Actor] sees [Target] and squats^,^^,^^
^CHatMsg_emotion_penalty_yours^,^[Actor]님이 당신을 보며 쪼그려뜁니다^,^^,^^,^[Actor] squatting at you^,^^,^^
^CHatMsg_emotion_penalty_my_notarget^,^당신은 쪼그려뜁니다.^,^^,^^,^You squat.^,^^,^^
^cHatmsg_emotion_penalty_others_notarget^,^[Actor]님이 쪼그려뜁니다.^,^^,^^,^[Actor] is squatting.^,^^,^^
^CHatMsg_emotion_pushup_my_target^,^당신은 [Target]님을 보며 푸쉬업을 합니다.^,^^,^^,^You push up with [Target].^,^^,^^
^CHatMsg_emotion_pushup_others_target^,^[Actor]님이 [Target]님을 보며 푸쉬업을 합니다.^,^^,^^,^[Actor] sees [Target] and pushes up.^,^^,^^
^CHatMsg_emotion_pushup_yours^,^[Actor]님이 당신을 보며 푸쉬업을 합니다.^,^^,^^,^[Actor] looks at you and pushes up.^,^^,^^
^CHatMsg_emotion_pushup_my_notarget^,^당신은 푸쉬업을 합니다.^,^^,^^,^You push up.^,^^,^^
^cHatmsg_emotion_pushup_others_notarget^,^[Actor]님이 푸쉬업을 합니다.^,^^,^^,^[Actor] pushes up.^,^^,^^
^CHatMsg_emotion_beg_my_target^,^당신은 [Target]님을 보며 떼를 씁니다.^,^あなたは[Target]様に物乞いをします。^,^^,^You beg [Target].^,^^,^^
^CHatMsg_emotion_beg_others_target^,^[Actor]님이 [Target]님을 보며 떼를 씁니다..^,^[Target]様が[Target]様に物乞いをしています。^,^^,^[Actor] begs [Target].^,^^,^^
^CHatMsg_emotion_beg_yours^,^[Actor]님이 당신을 보며 떼를 씁니다.^,^[Target]様があなたに物乞いをしています。^,^^,^[Actor] begs you.^,^^,^^
^CHatMsg_emotion_beg_my_notarget^,^당신은 떼를 씁니다.^,^あなたは物乞いをします。^,^^,^You beg.^,^^,^^
^cHatmsg_emotion_beg_others_notarget^,^[Actor]님이 떼를 씁니다.^,^^,^^,^[Actor] begs.^,^^,^^
