t_key,t_korean,t_jpn,t_chinese,t_eng,t_eng_2,t_eng_3
^squest_st_04_part_02^,^Find Princess Rania^,^ラニア姫を探せ^,^^,^^,^^,^^
^squest_ca_04^,^The airspace of doom^,^滅亡の空域^,^^,^^,^^,^^
^squest_ca_04_part_01^,^Stranded Whale^,^座礁したくじら^,^^,^^,^^,^^
^squest_ca_04_part_02^,^Knights of Pegasus^,^ペガサス騎士団^,^^,^^,^^,^^
^squest_ca_04_part_03^,^Final battle^,^最後の戦闘^,^^,^^,^^,^^
^squest_pl_01^,^To the land of Parna^,^パルナの地へ^,^^,^^,^^,^^
^squest_pl_01_part_01^,^To the land of Parna^,^パルナの地へ^,^^,^^,^^,^^
^squest_pl_02^,^Pirate Scavenger hunt^,^海賊団掃討作戦^,^^,^^,^^,^^
^squest_pl_02_part_01^,^Pirate Scavenger hunt^,^海賊団掃討作戦^,^^,^^,^^,^^
^squest_pl_03^,^Fragmented bundles^,^分裂したムラミ^,^^,^^,^^,^^
^squest_pl_03_part_01^,^Fragmented bundles^,^分裂したムラミ^,^^,^^,^^,^^
^squest_pl_04^,^Find the mirror of water^,^水の鏡を探して^,^^,^^,^^,^^
^squest_pl_04_part_01^,^Find the mirror of water^,^水の鏡を探して^,^^,^^,^^,^^
^squest_pl_05^,^Ruined territory^,^廃墟になった領地^,^^,^^,^^,^^
^squest_pl_05_part_01^,^Ruined territory^,^廃墟になった領地^,^^,^^,^^,^^
^squest_ed_01^,^Desert village^,^^,^^,^^,^^,^^
^squest_ed_01_part_01^,^Attack of the Mojava Mercenaries^,^^,^^,^^,^^,^^
^squest_ed_02^,^Lost gold mine^,^^,^^,^^,^^,^^
^squest_ed_02_part_01^,^Destroy the mercenaries^,^^,^^,^^,^^,^^
^squest_ed_03^,^Desert bragi^,^^,^^,^^,^^,^^
^squest_ed_03_part_01^,^Or transport jersey^,^^,^^,^^,^^,^^
^squest_ed_04^,^Golden Griffon Knights^,^^,^^,^^,^^,^^
^squest_ed_04_part_01^,^Mutant Griffon^,^^,^^,^^,^^,^^
^squest_ed_05^,^King of the desert^,^^,^^,^^,^^,^^
^squest_ed_05_part_01^,^Ken Griff Audience^,^^,^^,^^,^^,^^
^squest_ed_06^,^Crocoon Barracks District^,^^,^^,^^,^^,^^
^squest_ed_06_part_01^,^Corrupted Desert Crocoon^,^^,^^,^^,^^,^^
^squest_ed_07^,^Find the prophet^,^^,^^,^^,^^,^^
^squest_ed_07_part_01^,^The Secret of the Temple of Harak^,^^,^^,^^,^^,^^
^squest_ed_08^,^Operation start^,^^,^^,^^,^^,^^
^squest_ed_08_part_01^,^Rescue the princess!^,^^,^^,^^,^^,^^
^squest_f07_01^,^To Ellora's Sanctuary^,^^,^^,^^,^^,^^
^squest_f07_01_part_01^,^To Ellora's Sanctuary^,^^,^^,^^,^^,^^
^squest_f07_02^,^Chaos Elves Attack^,^^,^^,^^,^^,^^
^squest_f07_02_part_01^,^Chaos Elves Attack^,^^,^^,^^,^^,^^
^squest_f07_03^,^Canyon of the wind^,^^,^^,^^,^^,^^
^squest_f07_03_part_01^,^Canyon of the wind^,^^,^^,^^,^^,^^
^squest_f07_04^,^Warfront of Chaos^,^^,^^,^^,^^,^^
^squest_f07_04_part_01^,^Warfront of Chaos^,^^,^^,^^,^^,^^
^squest_f07_05^,^Assassin of betrayal^,^^,^^,^^,^^,^^
^squest_f07_05_part_01^,^Assassin of betrayal^,^^,^^,^^,^^,^^
^squest_f07_06^,^Find the Demonic Stone^,^^,^^,^^,^^,^^
^squest_f07_06_part_01^,^Find the Demonic Stone^,^^,^^,^^,^^,^^
^squest_c02_01^,^To Accrat Meadow^,^^,^^,^^,^^,^^
^squest_c02_01_part_01^,^To Accrat Meadow^,^^,^^,^^,^^,^^
^squest_c02_01_part_02^,^A port of trade in crisis^,^^,^^,^^,^^,^^
^squest_c02_01_part_03^,^A port of trade in crisis^,^^,^^,^^,^^,^^
^squest_c02_02^,^Find a prophet^,^^,^^,^^,^^,^^
^squest_c02_02_part_01^,^Break through the bridge of trade^,^^,^^,^^,^^,^^
^squest_c02_02_part_02^,^Pirate's Clues^,^^,^^,^^,^^,^^
^squest_c02_03^,^Occupied Mine^,^^,^^,^^,^^,^^
^squest_c02_03_part_01^,^The purpose of the bandits^,^^,^^,^^,^^,^^
^squest_c02_03_part_02^,^Kidnapped Prophet^,^^,^^,^^,^^,^^
^squest_c02_04^,^To Hastan Village^,^^,^^,^^,^^,^^
^squest_c02_04_part_01^,^Tragedy in town^,^^,^^,^^,^^,^^
^squest_c02_04_part_02^,^Suspicious movement^,^^,^^,^^,^^,^^
^squest_c02_05^,^Where the Prophet Was Arrested^,^^,^^,^^,^^,^^
^squest_c02_05_part_01^,^Save the prophet^,^^,^^,^^,^^,^^
^squest_f08_01^,^Road to Magmapora^,^^,^^,^^,^^,^^
^squest_f08_01_part_01^,^Before going to Magmapora^,^^,^^,^^,^^,^^
^squest_f08_01_part_02^,^Road to Magmapora^,^^,^^,^^,^^,^^
^squest_f08_02^,^Demonic Stone's Whereabouts^,^^,^^,^^,^^,^^
^squest_f08_02_part_01^,^First record^,^^,^^,^^,^^,^^
^squest_f08_02_part_02^,^Second record^,^^,^^,^^,^^,^^
^squest_f08_02_part_03^,^Light of my soul^,^^,^^,^^,^^,^^
^squest_f08_03^,^Rift of the Insect Kingdom^,^^,^^,^^,^^,^^
^squest_f08_03_part_01^,^Darkness left behind^,^^,^^,^^,^^,^^
^squest_f08_04^,^Demon's Resurrection^,^^,^^,^^,^^,^^
^squest_f08_04_part_01^,^Princess Awakening^,^^,^^,^^,^^,^^
^squest_f08_04_part_02^,^another black spot^,^^,^^,^^,^^,^^
^squest_sf_05^,^Bragi Grand Shaman Yatuman^,^^,^^,^^,^^,^^
^squest_sf_05_part_01^,^Darkness over Brakar Forest^,^^,^^,^^,^^,^^
^squest_sf_05_part_02^,^A magic circle tHat weakens Yatuman^,^^,^^,^^,^^,^^
^squest_sf_05_part_03^,^Legendary Heroes and Second Awakening^,^^,^^,^^,^^,^^
